Date,market_value,balance,stock_owned,price,action,amount
2024-12-09 09:30:00,102023.24424511414,102023.24424511414,0,440.8299865722656,buy,0
2024-12-09 09:45:00,102023.24424511414,102023.24424511414,0,442.3399963378906,sell,0
2024-12-09 10:00:00,102023.24424511414,102023.24424511414,0,444.122314453125,buy,0
2024-12-09 10:15:00,102023.24424511414,102023.24424511414,0,443.7349853515625,buy,0
2024-12-09 10:30:00,102023.24424511414,102023.24424511414,0,445.0210876464844,buy,0
2024-12-09 10:45:00,102023.24424511414,102023.24424511414,0,445.0899963378906,buy,0
2024-12-09 11:00:00,102023.24424511414,102023.24424511414,0,445.55621337890625,buy,0
2024-12-09 11:15:00,102023.24424511414,102023.24424511414,0,447.06500244140625,buy,0
2024-12-09 11:30:00,102023.24424511414,102023.24424511414,0,446.4960021972656,buy,0
2024-12-09 11:45:00,102023.24424511414,102023.24424511414,0,446.7049865722656,buy,0
2024-12-09 12:00:00,102023.24424511414,102023.24424511414,0,447.0199890136719,sell,0
2024-12-09 12:15:00,102023.24424511414,102023.24424511414,0,447.2699890136719,buy,0
2024-12-09 12:30:00,102023.24424511414,102023.24424511414,0,446.6650085449219,buy,0
2024-12-09 12:45:00,102023.24424511414,102023.24424511414,0,446.260009765625,buy,0
2024-12-09 13:00:00,102023.24424511414,102023.24424511414,0,446.5,buy,0
2024-12-09 13:15:00,102023.24424511414,102023.24424511414,0,446.1600036621094,sell,0
2024-12-09 13:30:00,102023.24424511414,102023.24424511414,0,446.6199951171875,buy,0
2024-12-09 13:45:00,102023.24424511414,102023.24424511414,0,446.5799865722656,buy,0
2024-12-09 14:00:00,102023.24424511414,102023.24424511414,0,446.07501220703125,buy,0
2024-12-09 14:15:00,102023.24424511414,102023.24424511414,0,446.0950012207031,buy,0
2024-12-09 14:30:00,102023.24424511414,102023.24424511414,0,445.6499938964844,buy,0
2024-12-09 14:45:00,102023.24424511414,102023.24424511414,0,446.1099853515625,buy,0
2024-12-09 15:00:00,102023.24424511414,102023.24424511414,0,446.2319030761719,buy,0
2024-12-09 15:15:00,102023.24424511414,102023.24424511414,0,446.0299987792969,sell,0
2024-12-09 15:30:00,102023.24424511414,102023.24424511414,0,445.6365051269531,buy,0
2024-12-09 15:45:00,102023.24424511414,102023.24424511414,0,445.8999938964844,buy,0
2024-12-10 09:30:00,102023.24424511414,102023.24424511414,0,447.760009765625,buy,0
2024-12-10 09:45:00,102023.24424511414,102023.24424511414,0,448.1099853515625,buy,0
2024-12-10 10:00:00,102023.24424511414,102023.24424511414,0,448.75,buy,0
2024-12-10 10:15:00,102023.24424511414,102023.24424511414,0,448.2101135253906,buy,0
2024-12-10 10:30:00,102023.24424511414,102023.24424511414,0,448.92999267578125,buy,0
2024-12-10 10:45:00,102023.24424511414,102023.24424511414,0,447.9981994628906,buy,0
2024-12-10 11:00:00,102023.24424511414,102023.24424511414,0,447.5400085449219,buy,0
2024-12-10 11:15:00,102023.24424511414,102023.24424511414,0,446.4649963378906,buy,0
2024-12-10 11:30:00,102023.24424511414,102023.24424511414,0,446.20001220703125,buy,0
